Department or Agency Name,Policy Integration Factor Outcome,Acquisition Factor Outcome,Testing and Remediation Factor Outcome,Accessibility Implementation Index Outcome,Accessibility Conformance Index Outcome,q1 agency size,q2 description,q3a activities,q3b activities,q3c activities,q3d activities,q3e activities,q4programs,q5program,q6cio,q6ano,q7totalno,q8totalno,q9track,q10budg,q11hoursper,q11a pt,q12 resources,q13ict,q14availict,q15a ICT,q15b ICT,q15c ICT,q15d ICT,q15e ICT,q15f ICT,q15g ICT,q15h ICT,q15i ICT,q16mandate,q17require,q18rolesspec,18aictprof,q19aexcept,q19bexcept,q19cdexcept,q20aundue,q20bundue,q20cundue,q21abest,q21bbest,q21cbest,q22,q23,q24,q25,q26,q27,q28grc,q29ahardware,q29bhardware,q29chardware,q29dhardware,q29ehardware,q29fhardware,q29ghardware,q29hardware,q29ihardware,q29jhardware,q29khardware,q29lhard,q30asoftware,q30bsoftware,q30csoftware,q30dsoftware,q30esoftware,q30fsoftware,q30gsoftware,q30hsoftware,q30isoftware,q30jsoftware,q30ksoftware,q30lsoftware,q31aelec,q31belec,q31celec,q31delec,q31eelec,q31felec,q31g1elec,q31helec,q31ielec,q31jelec,q31kelec,q32aweb,q32bweb,q32cweb,q32dweb,q32eweb,q32fweb,q32gweb,q32hweb,q32iweb,q32jweb,q32kweb,q33ainternal,q33binternal,q33cinternal,q33dinternal,q33einternal,q33finternal,q33ginternal,q33hinternal,q33iinternal,q33jinternal,q33kinternal,q34,q35,q36,q37,Top Viewed Public Webpages that fully conform,Top viewed Intranet Web Pages that fully conform,Top viewed electronic documents that fully conform,Top viewed videos that fully conform,q38a,q38b,q38c,q38d
Nuclear Regulatory Commission,Low,Moderate,Very Low,Low,Very Low,"Medium Agencies (1,000-9,999 employees)","A centralized Department-wide or agency-wide program that consolidates management and decision-making responsibilities for sub-agencies, components, and/or offices within the Department or agency.","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level",No,,Yes,,0.75,,Yes,216621,Part time - Department- or Agency-wide Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program [insert hours per week dedicated to Section 508 program *required],30,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Provide training",Yes,"Publicly available ,Includes documented processes and procedures for Section 508 issues and complaints",Mostly integrated,Somewhat integrated,Somewhat integrated,Moderately integrated,Not integrated,Somewhat integrated,Moderately integrated,Moderately integrated,Not integrated,No,,Other ,Section 508 Program Manager; Subject matter experts who review requests for new or updated ICT products,No,,No,No,,No,No,,No,Sometimes (11-50%),Often (51-90%),Often (51-90%),Rarely (1-10%),Often (51-90%),Sometimes (11-50%),No,No,No,No,,No,Sometimes (11-50%),No,,No ,,,,No,No,No,,No,Often (51-90%),No ,,No ,,,,No,No,No,,No,Rarely (1-10%),Rarely (1-10%),No ,,,,No,No,No,,No,Sometimes (11-50%),Sometimes (11-50%),No ,,,,No,No,No,,No,Rarely (1-10%),Rarely (1-10%),No,,,,No,Yes,,,0,0,0,0,,"A new draft Management Directive (MD) has been created to replace the existing Section 508 policy, which is currently distributed across several documents. This draft also addresses policy requirements from the Office of Management and Budget memorandum M-24-08. The MD is currently under stakeholder review.

Further enhancements and expansions have been made to the resources available on the internal Section 508 guidance website. This includes expanded information on authoring tools, developer and testing tools, software development platforms, recommended testing methodologies, supplementary accessibility-related standards, and understanding the needs of people with disabilities. Numerous guidance notes have been added to help interpret the requirements in the Web Content Accessibility Guidelines, version 2.2.

Forms for software and hardware intake requests have been updated to request that an accessibility conformance report be attached when available.

Guidance on the agency’s Technical Reference Model (TRM) website has been updated to emphasize the need for market research and for considering Section 508 requirements when selecting an IT product to meet business needs.

Two major new agency-wide Blanket Purchase Agreement (BPA) contracts for IT infrastructure and operational support, as well as IT development services, were solicited with strong Section 508 requirements. Two related draft BPA Call Performance Work Statements, to date, have incorporated Section 508 requirements into service areas. These contracts will provide a foundation for robust contractor support for accessibility in future IT services.

The tailorable Section 508 requirements language for use in the agency’s Statement of Work and Performance Work Statement templates has been updated to reflect lessons learned and current Federal policy.

Updates have been made to the Section 508 Exception and Exemption Documentation for Acquisitions of ICT Products and Services template, making it easier to understand and complete.

An additional web accessibility testing tool, IBM Equal Access Accessibility Checker, has been made available to agency employees.

Default settings have been changed to ensure that the Accessibility Checker tool in Microsoft Word, Excel, and PowerPoint runs automatically for all users and cannot be turned off.

A Statement of Work was prepared for the acquisition of technical support services for the Section 508 program. However, solicitation has been delayed until fiscal year 2026 due to completing funding priorities.","Over the past year, the NRC Section 508 program made meaningful progress in advancing accessibility objectives, as reflected in the accomplishments noted in response to question 38b. At the same time, resource constraints limited the pace of improvement, and some compliance gaps remain. While a request for additional staff support through a rotational assignment could not be fulfilled due to competing mission priorities, the program continues to identify opportunities to strengthen accessibility and remains committed to advancing compliance across the agency.","The Section 508 program is optimistic that additional resources will become available in fiscal year 2026.

Questions 3c and 3d: There is no central shared service for Section 508 Conformance Testing and Section 508 ICT Remediation. These activities are conducted at the program and contract level.

Test results for the top 10 viewed internal intranet web pages: There were 10 top-viewed internal intranet web pages available to test, but comprehensive manual conformance testing was not performed due to lack of in-scope contracted resources."
Social Security Administration,Very High,Very High,Very High,Very High,Very High,"Large Agencies (10,000-74,999 employees)","A centralized Department-wide or agency-wide program that consolidates management and decision-making responsibilities for sub-agencies, components, and/or offices within the Department or agency.","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level",Yes,,Yes,,18,6,Yes,5250000,Full time - Department- or Agency-wide Section 508 program manager works 40 hours per week fully dedicated to supporting the agency-wide Section 508 program,0,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",Yes,"Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 conformance testing,Includes documented processes and procedures for Section 508 issues and complaints",Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Yes,Other frequency not listed,"Acquisition professionals,Developers,Document authors,Testers",,Yes,3,Yes,Yes,,Yes,Yes,709,Yes,Often (51-90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Yes,Almost always (+90%),Yes,Rarely (1-10%),Yes,75,Yes ,2,2,2,Yes,Yes,Yes,Almost always (+90%),Yes,Almost always (+90%),Yes ,90,Yes ,12,12,12,Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Almost always (+90%),Yes ,781,781,781,Yes,Yes,Yes,Almost always (+90%),Yes,Almost always (+90%),Almost always (+90%),Yes ,6404,6404,6103,Yes,Yes,Yes,Almost always (+90%),Yes,Almost always (+90%),Almost always (+90%),Yes,167,167,159,Yes,Yes,81,79,1,1,1,1,230,"Enhanced Metrics
We introduced new metrics to better track and analyze accessibility across our technology portfolio. By leveraging real-time data, our testing team can quickly identify and address project team challenges without disrupting design and development. This data-driven approach allows us to proactively support our customers and has made our Section 508 Program more effective at preventing and reducing defects, enabling us to shift resources to new and emerging priorities. The impact of these changes is reflected in our follow-up procedures and outcomes.
Follow-up Procedures
We improved our follow-up process with application teams by using dashboards connected to our defect database, allowing us to track teams and defects throughout their lifecycle—similar to a Customer Relationship Management system (CRM). Our centralized, supportive service enables project teams to regularly and iteratively test their applications, with many teams now testing more than once a month. As a result, report writing time has been cut in half, total defects found have decreased by over 24% year-over-year, and defect resolution time has been reduced by two-thirds.
Improved Testing Tools
We enhanced the usability of our test tracking tools, providing customers with clearer data and step-by-step instructions. Because we both support project teams and design our own enterprise tools, we have a deep understanding of culture, process, and how to best provide accessibility support throughout the lifecycle. The teams we support now regularly check their status, and our tools guide them through the process based on their testing outcomes.","Our most significant and persistent challenge in increasing Section 508 compliance is supporting the IT system needs of employees with disabilities while meeting federal security and regulatory requirements. Security protocols and other regulations continue to limit our ability to provide the flexibility and system performance needed for assistive technologies. While the team who is responsible for distributing and supporting assistive technology consistently adapts and implements incremental improvements, the core challenge remains unchanged. We continue to do what we can within existing constraints, but balancing robust security and privacy protections with accessibility is a fundamental and ongoing difficulty that cannot be fully resolved under current conditions. Therefore, we do not have any requests that would benefit these challenges.","SSA’s Section 508 Program is a centralized, agency-wide initiative within the Office of the Chief Information Officer (CIO), led by full-time Program Manager Pierce Crowell since 2016. As of May 31, 2025, the program is staffed by 18 FTEs and 6 contractors, delivering a range of services including application and web content testing, procurement assistance, document remediation, and the collection and application of user feedback. While the Section 508 Program focuses on improving the accessibility and quality of agency IT, other SSA groups are responsible for accommodations, assistive technology support, and complaint resolution.
Recognizing market limitations, SSA applies legal exceptions to IT purchases when necessary. During the reporting period, one acquisition qualified under the Fundamental Alteration Exception, and 709 purchases fell under the Best Meets Exception.
Accessibility awareness is high across SSA, particularly among content creators. Rather than relying solely on formalized and mandatory training, the Section 508 Program emphasizes real-world, experiential learning tailored to each project team’s content. This approach has resulted in a significant and sustained reduction in overall defects (more than 25% annually). Formal training for professional roles is provided upon request (developer, contracts, designers, analysts web masters, etc.), but our primary focus is on offering teams repeatable, practical learning experiences using their own content, at a time that works best for them. In short, teams learn accessibility by having our experts show them how to fix their own defects.
Our testing operation is grounded in risk management principles to prioritize work, maximize efficacy, and increase return on investment. Our manual web and software testing operation is robust: of the 699 test reports published to 260 project teams, only 10 applications have outstanding defects today. After our project teams fixed 433 out of 480 defects found this period (a 90% fix rate), 96% of the applications we tested are now bug-free. This success is driven by detailed, context-specific fixing instructions provided in our test reports. Over the past three years, the number of issues found has dropped by more than 25% annually, even as testing volume remains steady.
Several questions request a total estimate of ICT within specific IT categories (e.g., hardware, software). However, we use accurate methods for tracking IT accessibility progress and do not attempt to estimate assets at such a broad aggregate level. For these questions, we provide a list of the IT items we have tested within each requested category. Additionally, counting IT by page is not feasible for us, as most of our manual testing is conducted on highly dynamic single-page applications. While our web crawler provides page counts (6,325 pages scanned), the 79 public-facing applications and 167 internal applications we tested likely represent thousands of potential pages.
We understand the intent behind measuring compliance and testing activity as a percentage within each category. However, this approach presents challenges, as definitions of a single ICT asset can vary and may not accurately reflect our environment. Instead, we rely on robust metrics derived from actual test data, which provide a more precise picture of our accessibility progress. 
We have established processes to ensure the procurement of accessible devices, conducted user studies on hardware accessibility, and have a dedicated group that supports the assistive technology needs of individuals with disabilities. This group continually tests AT compatibility and provides hardware alternatives. When designing hardware solutions, such as our check-in kiosks, we engage users with disabilities early in the process, well before any development begins. Our focus is on meeting individualized needs, and the market often requires us to seek alternatives and adaptive technologies. While hardware accessibility is very important, we first assess whether there is a tangible benefit and whether it addresses an actual risk.
During the reporting period, we also conducted two separate user studies on kiosks. We recruited several members of the public who are blind or have low vision and brought them into our usability labs to study three new features for our fleet of check-in kiosks.
At SSA, accessibility is seen as a driver of IT innovation and quality, not just a legal requirement—it is a requirement for IT success. While we face challenges, including sustaining many accessible legacy systems, we are also excited about new technologies and their potential to better serve users with disabilities. We continue to apply professional, market-proven methods to improve the accessibility of SSA technology, contribute to the Federal Accessibility Community, and look forward to this year’s assessment report."
Access Board,Very High,Very High,Very High,Very High,Very High,Very Small Agencies (<100 employees),"A centralized Department-wide or agency-wide program that consolidates management and decision-making responsibilities for sub-agencies, components, and/or offices within the Department or agency.","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level",No,,No,Office of Technical and Information Services,0.5,,No,,Part time - Department- or Agency-wide Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program [insert hours per week dedicated to Section 508 program *required],0.6,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training",Yes,"Publicly available ,Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 issues and complaints",Fully integrated,Fully integrated,Mostly integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Yes,Annually,"Document authors,Testers,Web Content Managers",,Yes,,Yes,Yes,,Yes,Yes,,Yes,Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),No,No,Yes,Yes,Often (51-90%),Yes,Almost always (+90%),Yes,50,Yes ,15,2,2,No,Yes,Yes,Almost always (+90%),Yes,Almost always (+90%),Yes ,70,Yes ,15,4,2,Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Almost always (+90%),Yes ,235,70,65,Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Almost always (+90%),Yes ,4500,90,90,N/A-Dept/Agency does not have internal web pages,N/A-Dept/Agency does not have internal web pages,N/A-Dept/Agency does not have internal web pages,N/A- Dept/Agency does not have internal web pages,N/A-Dept/Agency does not have internal web pages,N/A- Dept/Agency does not have internal web pages,N/A- Dept/Agency does not have internal web pages,N/A-Dept/Agency does not have internal web pages,,,,Yes,Yes,,,1,1,1,1,12,Reduction of PDFs on website has been ongoing. Staff will also assess their production of PDFs to determine if other formats are acceptable.,The 508 PM from last year retired and we have not been able to hire a replacement. Lack of staff to dedicate to an agency accessibility program would be improved by having a full-time Section 508 Program manager. We also receive inaccessible documents/forms from other agencies to complete and publish so we must spend time remediating their content. ,"As noted, all PDF documents in the top 10 have conforming alternate versions and are print versions of conformant web pages."
Administrative Conference of United States,Moderate,Very High,Low,Moderate,Low,Very Small Agencies (<100 employees),"A centralized Department-wide or agency-wide program that consolidates management and decision-making responsibilities for sub-agencies, components, and/or offices within the Department or agency.","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level",No,,No,General Counsel,0.1,,No,,Part time - Department- or Agency-wide Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program [insert hours per week dedicated to Section 508 program *required],1,"Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content",Yes,"Publicly available ,Includes documented processes and procedures for Section 508 issues and complaints",Somewhat integrated,Somewhat integrated,Somewhat integrated,Somewhat integrated,Somewhat integrated,N/A-Department/Agency does not perform or have policies related to this function,N/A-Department/Agency does not perform or have policies related to this function,Somewhat integrated,N/A-Department/Agency does not perform or have policies related to this function,No,Other frequency not listed,None of Above,,No,,No,No,,No,No,,No,N/A - Department/Agency does not procure ICT,N/A - Department/Agency does not release solicitations,N/A- Department/Agency does not award contracts,N/A - Department/Agency does not award contracts,N/A - Department/Agency does not procure ICT,N/A - Department/Agency does not award contracts,No,No,No,No,Never (0%),No,Never (0%),No,,No ,,,,No,No,No,Never (0%),No,Never (0%),No ,,No ,,,,Yes,Yes,No,Never (0%),No,Sometimes (11-50%),Never (0%),No ,3466,,,No,No,No,Never (0%),No,Never (0%),Never (0%),No ,,,,N/A-Dept/Agency does not have internal web pages,N/A-Dept/Agency does not have internal web pages,N/A-Dept/Agency does not have internal web pages,N/A- Dept/Agency does not have internal web pages,N/A-Dept/Agency does not have internal web pages,N/A- Dept/Agency does not have internal web pages,N/A- Dept/Agency does not have internal web pages,N/A-Dept/Agency does not have internal web pages,,,,No,Yes,,,0,1,0,0,4,Most changes affecting Section 508 compliance were implemented 1.5 years ago when the website was redesigned. See further description below.,"ACUS is a micro agency with no components and fewer than a dozen FTEs. The agency enters contracts for HR and EEO services (with GSA), IT services (with an external vendor), and has no independent leasing authority (GSA does that, too). Our miniscule budget does not allow for rigorous or systematic testing (in-house or via contract) or dedicated Section 508 staff. The few software products employed at ACUS are generally off-the-shelf (since ACUS does not develop or operate its own software or mobile apps) and are commonly used throughout government (e.g., Microsoft products). Any service providers (e.g., website developers) are from the GSA schedule of approved contractors that meet government requirements. Imposing testing and similar requirements (even through a shared service provider) would be unduly burdensome at ACUS. Any testing is performed on an ad hoc basis, with priority given to congressionally mandated documents and website development activities.","FYI, when ACUS redesigned its website approximately 1.5 years ago (because support for its web content management system was set to expire), ACUS worked with the external developers to ensure accessibility and to create the best user experience possible--minimal graphics and pictures, low visual clutter, no flashing images, appropriate contrast, plain English, etc. In addition, an accessibility checker was added for use by ACUS website content creators. The redesign and migration imposed a significant cost on the agency that caused ACUS to delay other important expenditures.

With regard to question 22 on ICT procurement, ACUS merely purchases licenses for off-the-shelf ICT--not the type of procurement contemplated by the question. Moreover, all such purchases fall below the micro-purchase threshold (and simplified acquisition threshold).

With regard to question 36 and the number of 508 complaints received, ACUS has NEVER received a 508 complaint--not in the last year, and not since the agency opened in 2010. "
Department of Energy,Low,Moderate,Low,Moderate,Low,"Large Agencies (10,000-74,999 employees)","A de-centralized Department-wide or agency-wide program that distributes Section 508 management and decision-making responsibilities to individual programs at sub-agencies, components, and/or offices within the Department or agency.","No, this activity is decentralized and performed independently at the component level","No, this activity is decentralized and performed independently at the component level","No, this activity is decentralized and performed independently at the component level","No, this activity is decentralized and performed independently at the component level","Yes, this activity is centralized and performed at the Department or Agency-level",Yes,Power Marketing Administration ,Yes,,,,Yes,600000,Part time - Department- or Agency-wide Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program [insert hours per week dedicated to Section 508 program *required],8,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",Yes,Publicly available ,Moderately integrated,Somewhat integrated,Moderately integrated,Moderately integrated,Moderately integrated,Moderately integrated,Somewhat integrated,Somewhat integrated,Somewhat integrated,No,,None of Above,,No,,No,No,,No,No,,No,Often (51-90%),Sometimes (11-50%),Sometimes (11-50%),Often (51-90%),Sometimes (11-50%),Sometimes (11-50%),No,No,No,No,,No,Never (0%),No,,No ,,,,Yes,No,No,Sometimes (11-50%),No,Sometimes (11-50%),No ,,No ,,,,Yes,No,No,Often (51-90%),No,Often (51-90%),Often (51-90%),Yes ,75000,75000,3300,Yes,No,No,Almost always (+90%),No,Sometimes (11-50%),Almost always (+90%),Yes ,59000,59000,57000,Yes,No,No,,No,Sometimes (11-50%),Sometimes (11-50%),No,32000,,,No,Yes,2,2,0.7,0,0.3,0.6,,,,
Department of Education,Very High,Very High,Moderate,High,Moderate,"Medium Agencies (1,000-9,999 employees)","A centralized Department-wide or agency-wide program that consolidates management and decision-making responsibilities for sub-agencies, components, and/or offices within the Department or agency.","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level",No,,Yes,,,1.2,Yes,1500000,N/A- there is no Department- or Agency-wide Section 508 program manager,0,"Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training",Yes,"Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 conformance testing,Includes documented processes and procedures for Section 508 issues and complaints",Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Mostly integrated,No,,None of Above,,Yes,0,No,Yes,0,No,Yes,1,Yes,Almost always (+90%),Almost always (+90%),Almost always (+90%),Never (0%),Almost always (+90%),Almost always (+90%),Yes,No,Yes,No,,No,Never (0%),Yes,90,Yes ,3841,0,0,Yes,Yes,No,Never (0%),No,Almost always (+90%),Yes ,100,Yes ,842,200,150,Yes,Yes,No,,No,Almost always (+90%),Never (0%),Yes ,80300,212,212,Yes,Yes,No,,No,Almost always (+90%),Never (0%),Yes ,2500,45,40,Yes,Yes,No,,No,Almost always (+90%),Almost always (+90%),Yes,1971,1971,1733,No,Yes,,,0.4,0.8,0,0.2,80,,,
Department of Health and Human Services,Moderate,High,High,High,Very Low,"Very Large Agencies (>=75,000 employees)","A de-centralized Department-wide or agency-wide program that distributes Section 508 management and decision-making responsibilities to individual programs at sub-agencies, components, and/or offices within the Department or agency.","No, this activity is decentralized and performed independently at the component level","Yes, this activity is centralized and performed at the Department or Agency-level","No, this activity is decentralized and performed independently at the component level","No, this activity is decentralized and performed independently at the component level","No, this activity is decentralized and performed independently at the component level",Yes,,No,Component Programs,5,8,No,,N/A- there is no Department- or Agency-wide Section 508 program manager,0,"Assist developers in creating web content or software that complies with Section 508,Evaluate and/or remediate web content,Provide alternate formats",Yes,,Mostly integrated,Moderately integrated,Moderately integrated,Fully integrated,Moderately integrated,Somewhat integrated,Fully integrated,Moderately integrated,Somewhat integrated,No,,None of Above,,Yes,10,Yes,Yes,4,Yes,No,,Yes,Often (51-90%),Often (51-90%),Sometimes (11-50%),Often (51-90%),Often (51-90%),Sometimes (11-50%),Yes,Yes,Yes,Yes,,Yes,Sometimes (11-50%),No,60,Yes ,90000,50000,40000,Yes,Yes,Yes,,Yes,Rarely (1-10%),No ,,Yes ,1900,600,120,Yes,Yes,Yes,,Yes,Often (51-90%),Almost always (+90%),No ,,,,Yes,Yes,Yes,,Yes,Almost always (+90%),Often (51-90%),No ,,,,Yes,Yes,Yes,,No,Often (51-90%),Almost always (+90%),No,,,,Yes,Yes,5,4,0,0,0.5,0,180,Removed Section 508 Program staff from many divisions. ,No agencywide program.  Resourcing and ability to easily share services would be valuable.,Some components have existing effective programs.  Departmentwide report does not adequately represent the quality of these agency programs.  
Department of Housing and Urban Development,Very Low,Low,Very Low,Very Low,Very Low,"Medium Agencies (1,000-9,999 employees)","A centralized Department-wide or agency-wide program that consolidates management and decision-making responsibilities for sub-agencies, components, and/or offices within the Department or agency.","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level","No, this activity is decentralized and performed independently at the component level","No, this activity is decentralized and performed independently at the component level","Yes, this activity is centralized and performed at the Department or Agency-level",No,,Yes,,0.05,,No,,Part time - Department- or Agency-wide Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program [insert hours per week dedicated to Section 508 program *required],0,"Evaluate and/or remediate software,Provide training",Yes,"Publicly available ,Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 issues and complaints",Somewhat integrated,Not integrated,Not integrated,Mostly integrated,Not integrated,Not integrated,Somewhat integrated,Moderately integrated,Not integrated,Yes,Annually,Web Content Managers,,Yes,,Yes,Yes,,Yes,Yes,1,Yes,Rarely (1-10%),Never (0%),Never (0%),Never (0%),Often (51-90%),Rarely (1-10%),No,No,No,No,,No,Never (0%),No,,No ,,,,No,No,No,Never (0%),No,Often (51-90%),No ,,No ,,,,No,No,No,Never (0%),No,Rarely (1-10%),Sometimes (11-50%),No ,,,,Yes,Yes,No,Never (0%),No,Almost always (+90%),Almost always (+90%),No ,,,,No,No,No,,No,Rarely (1-10%),Rarely (1-10%),No,,,,No,Yes,1,1,0,0,0,0,n/a,"Over the past year, HUD published an updated accessibility policy, established a process for tracking and formally evaluating exceptions requests, and has begun integrating Section 508 testing as a requirement in IT governance processes.",n/a,Not able to test sites and electronic content as part of the assessment
Department of Labor,Very Low,Low,Low,Low,Very Low,"Large Agencies (10,000-74,999 employees)","A centralized Department-wide or agency-wide program that consolidates management and decision-making responsibilities for sub-agencies, components, and/or offices within the Department or agency.","Yes, this activity is centralized and performed at the Department or Agency-level","Yes, this activity is centralized and performed at the Department or Agency-level","No, this activity is decentralized and performed independently at the component level","No, this activity is decentralized and performed independently at the component level","Yes, this activity is centralized and performed at the Department or Agency-level",No,,Yes,,4,,No,1400000,Full time - Department- or Agency-wide Section 508 program manager works 40 hours per week fully dedicated to supporting the agency-wide Section 508 program,0,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",Yes,"Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 issues and complaints",Somewhat integrated,Not integrated,Not integrated,Somewhat integrated,Somewhat integrated,Somewhat integrated,Somewhat integrated,Somewhat integrated,Not integrated,Yes,Annually,None of Above,,No,,No,No,,No,No,,No,Rarely (1-10%),Rarely (1-10%),Rarely (1-10%),Rarely (1-10%),Sometimes (11-50%),Rarely (1-10%),No,No,Yes,No,Never (0%),No,Rarely (1-10%),No,,No ,,,,No,Yes,No,Rarely (1-10%),No,Rarely (1-10%),No ,,No ,,,,No,Yes,No,Rarely (1-10%),No,Rarely (1-10%),Sometimes (11-50%),No ,,,,No,Yes,No,Rarely (1-10%),No,Sometimes (11-50%),Sometimes (11-50%),No ,,,,No,Yes,No,,No,Rarely (1-10%),Sometimes (11-50%),No,,,,No,Yes,,,0,0.5,0.2,0,400 hours,The Department has hired an experienced Section 508 Team Lead to serve as the Section 508 Program Manager. The Section 508 Program Office has been realigned from the Branch of Quality Management to the Division of IT Governance. This realignment positions the 508 Program for success. The Department conducted extensive (several times per week) role-based technical training from June 2024 until January 2025.,". The Section 508 Program was reduced from 7 FTEs and 5 contractors to 4 FTEs and zero contractors. The loss in capacity affects DOL’s ability to deliver and scale training and testing activities. Among the most helpful things that GSA’s 508 Program could offer:
•        A license for a capable, relatively inexpensive automatic testing tool for web content (such as PopeTech) to track and store testing results.
•        A license for “training-in-a-box,” such as Deque University.
•        Tools and processes to execute manual testing that are not as resource-intensive as the Trusted Tester methodology. 
•        On-demand micro-learnings (short videos and articles) for high impact web accessibility fixes, including:
o        Accessible form labels
o        Accessible error messaging
o        Accessible accordions
o        Document structure including headings, regions and lists
o        Accessible page titles
o        Proper keyboard interaction and accessible naming when, for example, a clickable graphic is next to a text link and both elements go to the same place
•        A tool that visualizes tab stops, such as Accessibility Insights for Web (Accessibility Insights for Web is not suitable for DOL)
•        More guidance that avoiding PDF is a huge win for document accessibility! 
•        A tool to track Section 508 exceptions (and the provision of Alternative Means plans for Best Meets, Fundamental Alteration and Undue Burden) across government. It would be compelling to know, for instance “DOL used Best Meets 10,000 times in FY27, but a similar-sized agency used it 4,000 times. And here’s the evidence supplied to support the Best Meets determination.”)
•        Regular updates to Section508.gov that contain technical, practical tips for creating Section 508 compliant content.
•        Best practices (and pitfalls to avoid) for using Artificial Intelligence in creating, managing and evaluating Section 508 compliant content.",No
